001  00151 | LR: 7.500000e-05 | Loss: 1.945 | Acc: 13.543% 
001  00152 | LR: 7.550000e-05 | Loss: 1.945 | Acc: 13.542% 
001  00153 | LR: 7.600000e-05 | Loss: 1.945 | Acc: 13.573% 
001  00154 | LR: 7.650000e-05 | Loss: 1.945 | Acc: 13.626% 
001  00155 | LR: 7.700000e-05 | Loss: 1.945 | Acc: 13.710% 
001  00156 | LR: 7.750000e-05 | Loss: 1.945 | Acc: 13.707% 
001  00157 | LR: 7.800000e-05 | Loss: 1.945 | Acc: 13.758% 
001  00158 | LR: 7.850000e-05 | Loss: 1.945 | Acc: 13.776% 
001  00159 | LR: 7.900000e-05 | Loss: 1.945 | Acc: 13.763% 
001  00160 | LR: 7.950000e-05 | Loss: 1.945 | Acc: 13.781% 
001  00161 | LR: 8.000000e-05 | Loss: 1.945 | Acc: 13.768% 
001  00162 | LR: 8.050000e-05 | Loss: 1.945 | Acc: 13.817% 
001  00163 | LR: 8.100000e-05 | Loss: 1.944 | Acc: 13.865% 
001  00164 | LR: 8.150000e-05 | Loss: 1.944 | Acc: 13.953% 
001  00165 | LR: 8.200000e-05 | Loss: 1.944 | Acc: 13.960% 
001  00166 | LR: 8.250000e-05 | Loss: 1.944 | Acc: 13.956% 
001  00167 | LR: 8.300000e-05 | Loss: 1.944 | Acc: 13.982% 
001  00168 | LR: 8.350000e-05 | Loss: 1.944 | Acc: 13.988% 
001  00169 | LR: 8.400000e-05 | Loss: 1.944 | Acc: 13.994% 
001  00170 | LR: 8.450000e-05 | Loss: 1.943 | Acc: 13.990% 
001  00171 | LR: 8.500000e-05 | Loss: 1.943 | Acc: 13.977% 
001  00172 | LR: 8.550000e-05 | Loss: 1.943 | Acc: 13.983% 
001  00173 | LR: 8.600000e-05 | Loss: 1.943 | Acc: 14.027% 
001  00174 | LR: 8.650000e-05 | Loss: 1.943 | Acc: 14.109% 
001  00175 | LR: 8.700000e-05 | Loss: 1.943 | Acc: 14.143% 
001  00176 | LR: 8.750000e-05 | Loss: 1.943 | Acc: 14.157% 
001  00177 | LR: 8.800000e-05 | Loss: 1.943 | Acc: 14.153% 
001  00178 | LR: 8.850000e-05 | Loss: 1.942 | Acc: 14.204% 
001  00179 | LR: 8.900000e-05 | Loss: 1.942 | Acc: 14.199% 
001  00180 | LR: 8.950000e-05 | Loss: 1.942 | Acc: 14.241% 
001  00181 | LR: 9.000000e-05 | Loss: 1.942 | Acc: 14.282% 
001  00182 | LR: 9.050000e-05 | Loss: 1.942 | Acc: 14.332% 
001  00183 | LR: 9.100000e-05 | Loss: 1.941 | Acc: 14.399% 
001  00184 | LR: 9.150000e-05 | Loss: 1.941 | Acc: 14.384% 
001  00185 | LR: 9.200000e-05 | Loss: 1.941 | Acc: 14.414% 
001  00186 | LR: 9.250000e-05 | Loss: 1.941 | Acc: 14.427% 
001  00187 | LR: 9.300000e-05 | Loss: 1.941 | Acc: 14.439% 
001  00188 | LR: 9.350000e-05 | Loss: 1.941 | Acc: 14.397% 
001  00189 | LR: 9.400000e-05 | Loss: 1.940 | Acc: 14.427% 
001  00190 | LR: 9.450000e-05 | Loss: 1.940 | Acc: 14.447% 
001  00191 | LR: 9.500000e-05 | Loss: 1.940 | Acc: 14.468% 
001  00192 | LR: 9.550000e-05 | Loss: 1.939 | Acc: 14.479% 
001  00193 | LR: 9.600000e-05 | Loss: 1.939 | Acc: 14.473% 
