001  00171 | LR: 8.500000e-05 | Loss: 1.934 | Acc: 15.673% 
001  00172 | LR: 8.550000e-05 | Loss: 1.934 | Acc: 15.581% 
001  00173 | LR: 8.600000e-05 | Loss: 1.934 | Acc: 15.607% 
001  00174 | LR: 8.650000e-05 | Loss: 1.934 | Acc: 15.632% 
001  00175 | LR: 8.700000e-05 | Loss: 1.933 | Acc: 15.657% 
001  00176 | LR: 8.750000e-05 | Loss: 1.933 | Acc: 15.739% 
001  00177 | LR: 8.800000e-05 | Loss: 1.933 | Acc: 15.763% 
001  00178 | LR: 8.850000e-05 | Loss: 1.933 | Acc: 15.674% 
001  00179 | LR: 8.900000e-05 | Loss: 1.932 | Acc: 15.810% 
001  00180 | LR: 8.950000e-05 | Loss: 1.932 | Acc: 15.889% 
001  00181 | LR: 9.000000e-05 | Loss: 1.932 | Acc: 15.912% 
001  00182 | LR: 9.050000e-05 | Loss: 1.931 | Acc: 16.044% 
001  00183 | LR: 9.100000e-05 | Loss: 1.931 | Acc: 16.011% 
001  00184 | LR: 9.150000e-05 | Loss: 1.931 | Acc: 15.978% 
001  00185 | LR: 9.200000e-05 | Loss: 1.931 | Acc: 15.946% 
001  00186 | LR: 9.250000e-05 | Loss: 1.931 | Acc: 15.860% 
001  00187 | LR: 9.300000e-05 | Loss: 1.931 | Acc: 15.936% 
001  00188 | LR: 9.350000e-05 | Loss: 1.931 | Acc: 15.851% 
001  00189 | LR: 9.400000e-05 | Loss: 1.930 | Acc: 15.979% 
001  00190 | LR: 9.450000e-05 | Loss: 1.930 | Acc: 15.895% 
001  00191 | LR: 9.500000e-05 | Loss: 1.931 | Acc: 15.812% 
001  00192 | LR: 9.550000e-05 | Loss: 1.931 | Acc: 15.833% 
001  00193 | LR: 9.600000e-05 | Loss: 1.930 | Acc: 15.803% 
001  00194 | LR: 9.650000e-05 | Loss: 1.930 | Acc: 15.722% 
001  00195 | LR: 9.700000e-05 | Loss: 1.930 | Acc: 15.846% 
001  00196 | LR: 9.750000e-05 | Loss: 1.929 | Acc: 15.867% 
001  00197 | LR: 9.800000e-05 | Loss: 1.929 | Acc: 15.888% 
001  00198 | LR: 9.850000e-05 | Loss: 1.928 | Acc: 15.909% 
001  00199 | LR: 9.900000e-05 | Loss: 1.928 | Acc: 15.829% 
001  00200 | LR: 9.950000e-05 | Loss: 1.928 | Acc: 15.900% 
001  00201 | LR: 1.000000e-04 | Loss: 1.927 | Acc: 15.821% 
001  00202 | LR: 1.005000e-04 | Loss: 1.927 | Acc: 15.842% 
001  00203 | LR: 1.010000e-04 | Loss: 1.927 | Acc: 15.813% 
001  00204 | LR: 1.015000e-04 | Loss: 1.927 | Acc: 15.833% 
001  00205 | LR: 1.020000e-04 | Loss: 1.928 | Acc: 15.805% 
001  00206 | LR: 1.025000e-04 | Loss: 1.927 | Acc: 15.728% 
001  00207 | LR: 1.030000e-04 | Loss: 1.927 | Acc: 15.749% 
001  00208 | LR: 1.035000e-04 | Loss: 1.926 | Acc: 15.865% 
001  00209 | LR: 1.040000e-04 | Loss: 1.925 | Acc: 15.933% 
001  00210 | LR: 1.045000e-04 | Loss: 1.925 | Acc: 15.952% 
001  00211 | LR: 1.050000e-04 | Loss: 1.925 | Acc: 15.924% 
001  00212 | LR: 1.055000e-04 | Loss: 1.924 | Acc: 15.991% 
001  00213 | LR: 1.060000e-04 | Loss: 1.924 | Acc: 16.056% 
001  00214 | LR: 1.065000e-04 | Loss: 1.924 | Acc: 16.028% 
001  00215 | LR: 1.070000e-04 | Loss: 1.924 | Acc: 16.000% 
001  00216 | LR: 1.075000e-04 | Loss: 1.923 | Acc: 15.972% 
001  00217 | LR: 1.080000e-04 | Loss: 1.923 | Acc: 16.129% 
001  00218 | LR: 1.085000e-04 | Loss: 1.922 | Acc: 16.239% 
001  00219 | LR: 1.090000e-04 | Loss: 1.922 | Acc: 16.256% 
001  00220 | LR: 1.095000e-04 | Loss: 1.921 | Acc: 16.364% 
001  00221 | LR: 1.100000e-04 | Loss: 1.920 | Acc: 16.335% 
001  00222 | LR: 1.105000e-04 | Loss: 1.920 | Acc: 16.306% 
001  00223 | LR: 1.110000e-04 | Loss: 1.919 | Acc: 16.278% 
001  00224 | LR: 1.115000e-04 | Loss: 1.919 | Acc: 16.250% 
001  00225 | LR: 1.120000e-04 | Loss: 1.919 | Acc: 16.222% 
001  00226 | LR: 1.125000e-04 | Loss: 1.919 | Acc: 16.195% 
001  00227 | LR: 1.130000e-04 | Loss: 1.918 | Acc: 16.211% 
001  00228 | LR: 1.135000e-04 | Loss: 1.919 | Acc: 16.184% 
001  00229 | LR: 1.140000e-04 | Loss: 1.918 | Acc: 16.245% 
001  00230 | LR: 1.145000e-04 | Loss: 1.918 | Acc: 16.217% 
001  00231 | LR: 1.150000e-04 | Loss: 1.918 | Acc: 16.190% 
001  00232 | LR: 1.155000e-04 | Loss: 1.917 | Acc: 16.207% 
001  00233 | LR: 1.160000e-04 | Loss: 1.917 | Acc: 16.223% 
001  00234 | LR: 1.165000e-04 | Loss: 1.916 | Acc: 16.239% 
001  00235 | LR: 1.170000e-04 | Loss: 1.917 | Acc: 16.213% 
001  00236 | LR: 1.175000e-04 | Loss: 1.917 | Acc: 16.229% 
001  00237 | LR: 1.180000e-04 | Loss: 1.917 | Acc: 16.203% 
001  00238 | LR: 1.185000e-04 | Loss: 1.916 | Acc: 16.345% 
